@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,1,0,2,7,?,490,3,0.779388,64,1
0,0,3,0,10,?,4750,1,0.000258,47,0
1,0,1,0,12,7000,0.268819,1,0.168541,38,1
0,0,1,0,9,2000,0.306347,0,0.096973,55,0
3,0,0,0,14,3000,0.414195,0,0.07916,62,0
0,0,2,0,24,12347,0.290087,0,0.220173,64,0
1,0,0,0,4,3333,0.071686,0,0.216953,66,0
1,0,0,0,16,10300,0.065819,0,0.024958,79,0
3,0,0,0,7,3000,0.220593,0,0.072831,39,0
0,0,0,3,1,?,548,1,1,44,1
1,0,0,5,1,5224,0.103158,0,1,40,1
5,3,0,6,2,4600,0.174093,0,1.473054,42,1
0,0,0,0,9,?,20,0,0.012132,60,0
0,0,1,0,11,0,3210,0,0.431243,72,0
0,0,1,0,10,5824,0.183519,0,0.136252,64,0
1,0,0,1,0,2600,0.004614,0,1,27,0
0,0,0,0,7,?,394,0,0.072571,55,0
0,0,2,0,9,12000,0.322056,2,0.895474,56,1
0,0,1,0,8,?,951,0,0.02315,65,0
0,0,2,0,9,11000,0.347696,0,0.116063,43,0
2,0,0,0,5,2800,0.242413,1,0.736345,36,1
0,0,1,0,4,2595,0.515023,0,0.056839,63,0
2,0,0,0,10,3620,0.363159,0,0.939098,36,1
0,0,2,0,16,?,6412,0,0.985458,44,0
4,0,0,0,6,4300,0.342246,3,0.266054,35,0
1,0,0,0,4,4667,0.028063,0,0.310471,50,0
1,6,0,4,8,7397,0.15342,1,1.208295,45,1
0,0,2,0,22,0,2570,0,0.331675,63,0
1,0,1,0,3,6000,0.70105,0,0.067986,33,0
0,0,1,0,7,?,1598,0,0,68,0
0,0,2,0,20,7996,0.403401,2,0.271339,58,0
2,0,1,0,12,15000,0.053596,0,0.015459,58,0
0,0,1,0,8,?,561,0,0.003701,68,0
0,0,1,0,13,1000,1.175824,5,0.015482,60,0
0,0,2,2,10,5500,0.529177,5,0.972286,58,1
0,0,0,2,3,?,164,0,1,29,1
0,0,0,0,1,4528,0.002208,2,1.17608,51,0
0,0,0,0,1,4000,0.008498,0,0.763491,26,0
0,0,1,0,8,5500,0.371023,0,0.417762,50,1
0,0,1,0,6,3000,1.206598,0,0.979099,39,0
0,0,1,0,15,3500,0.684376,0,0.162477,59,0
1,1,0,1,5,5000,0.115777,1,0.631491,47,0
?,0,1,0,5,?,1051,0,0.054596,51,0
0,0,1,0,11,6166,0.081401,0,0.019448,63,0
1,0,1,1,9,500,2.387226,1,0.454395,45,0
2,0,4,0,24,6884,0.702977,0,0.107536,55,0
0,0,2,0,9,?,3610,0,0.020199,62,0
0,0,0,0,9,1798,0.835464,1,0.745453,57,0
0,0,1,0,20,4570,0.314373,0,0.266965,62,0
0,0,0,0,11,5900,0.207084,0,0.223845,56,0
3,0,0,1,2,4000,0.013747,0,0.458617,35,1
1,0,0,0,1,4500,0.001555,0,0.05239,27,0
1,0,3,0,24,5040,0.649673,0,0.165046,59,0
5,0,1,0,8,11250,0.333126,0,0.584959,45,0
0,2,1,0,13,8160,0.538659,3,0.260564,50,1
2,0,0,0,6,7000,0,0,0,70,0
0,0,2,0,7,?,1965,0,0.00774,61,0
0,0,1,2,1,?,162,1,1,55,1
0,0,0,0,13,10200,0.016959,0,0.241792,73,0
0,0,0,0,6,3992,0.214125,0,0.253073,35,0
0,0,1,0,15,11344,0.248039,3,0.124759,41,0
3,0,2,0,18,25000,0.413063,0,0.918566,49,0
0,0,0,0,1,?,18,0,1.213573,22,0
0,0,2,0,16,5200,0.481061,0,0.108204,55,0
0,0,1,0,3,?,3462,0,0.142729,37,0
0,0,0,0,4,?,0,0,0,90,0
0,0,1,0,6,6666,0.097045,0,0.014109,78,0
2,0,1,0,4,8366,0.351619,0,0.096861,32,0
2,0,3,0,21,18800,0.409074,0,0.607108,52,0
3,0,1,0,5,7031,0.262799,0,0.036802,37,0
0,0,1,0,6,4200,0.240657,0,0.043519,60,0
4,0,1,0,10,16666,0.226675,0,0.216008,51,0
0,0,2,0,27,2823,1.036473,0,0.095728,65,0
0,0,1,0,13,5000,0.719856,0,0.444404,45,0
0,0,0,0,2,5516,0.019576,0,0.06589,48,0
0,0,0,0,4,12083,0.003558,0,0.04422,85,0
1,0,1,0,7,6100,0.262252,0,0.021815,49,0
0,0,1,0,13,?,491,0,0.02232,62,0
0,0,2,0,8,6450,0.384902,0,0.203889,39,0
1,0,0,0,6,5833,0.226431,1,0.341939,54,1
1,0,1,0,11,7666,0.172558,0,0.081649,80,0
3,0,0,0,3,13000,0.058688,1,1,44,0
1,0,0,2,5,?,493,1,0.853659,39,1
0,0,0,0,5,1600,0.657714,0,0.029998,77,0
3,0,1,0,26,7600,0.432048,1,0.421459,51,0
0,0,1,0,9,3500,0.627249,0,0.403838,58,0
3,0,0,0,3,4611,0.255637,0,1,33,0
2,0,2,0,14,9000,0.410621,0,0.340934,51,0
0,0,1,0,4,?,2956,0,0.028222,38,0
2,0,0,0,11,1950,0.701179,0,0.627089,37,0
?,0,0,0,1,?,0,0,0,75,0
0,0,1,0,14,2333,0.579263,0,0,57,0
0,0,0,0,4,6240,0.056561,0,0.004333,39,0
0,0,0,0,14,?,67,0,0.021968,67,0
0,0,2,0,20,105,39.254717,0,0.013162,68,0
?,0,1,0,5,?,471,0,0.025126,85,0
0,0,0,0,6,1600,0.129294,0,0.01826,66,0
0,0,2,0,25,7500,0.675243,0,0.633408,67,1
0,0,2,0,21,10500,0.352157,0,0.353273,67,0
?,1,0,1,7,?,562,0,1.0611,25,1
0,0,0,0,7,2800,0.683684,0,0.653781,59,0
0,0,0,0,5,8000,0.00325,0,0.029147,59,0
0,0,0,0,4,1594,0.003135,0,0.003786,71,0
0,0,0,0,7,2350,0.420672,0,0.532126,30,0
0,1,1,2,2,3700,0.084031,0,1,44,1
0,0,0,0,2,?,18,0,0.041064,67,0
2,0,0,0,6,?,2625,0,0.767991,48,0
0,0,0,0,5,7100,0.004084,0,0.015931,62,0
0,0,0,0,5,?,19,0,0.014453,88,0
0,0,3,0,6,?,4281,0,1,54,0
2,0,3,0,10,6600,0.426148,0,0.114293,40,0
0,0,0,0,10,2566,0.604207,1,0.54011,76,0
0,0,3,0,6,?,3292,0,0.855931,55,0
2,1,1,0,9,5500,0.438829,1,0.631551,40,0
0,0,0,0,3,828,0.001206,0,0.010326,24,0
0,0,1,0,6,6501,0.273454,0,0.011617,84,0
0,0,0,0,0,?,13,0,1,67,0
0,1,2,1,7,7000,0.242822,0,0.905456,53,0
1,0,1,0,6,3000,0.165611,0,0.35966,46,0
0,0,1,0,6,?,380,0,0.057825,69,0
1,0,2,0,9,9600,0.32757,0,0.16495,48,0
0,0,3,0,33,20667,0.657151,3,0.767449,79,1
?,0,0,0,5,?,1,0,0.005444,78,0
0,0,0,0,2,2603,0.013057,0,0.037123,83,0
0,0,3,0,15,?,5584,0,0.312291,53,0
0,0,0,0,2,1414,0.050177,0,0.573673,80,0
0,0,1,0,17,10417,0.314264,0,0.391209,53,0
2,0,1,0,17,5600,0.263346,0,0.108484,34,0
0,0,0,0,6,1202,0.498753,1,1,27,1
0,0,2,0,5,?,2084,0,0.531245,40,0
2,0,1,0,14,5392,0.45114,0,0.477079,55,0
0,0,0,0,5,?,2,0,0.001564,32,0
0,0,2,0,6,6279,0.500955,0,0.143043,59,0
0,0,0,1,3,10000,0.004,0,0,55,0
0,0,2,0,5,6916,0.356802,0,0,39,0
4,0,0,0,8,7625,0.136507,0,0.038629,48,0
0,0,4,0,11,6000,1.021996,0,0.628765,61,0
1,0,1,0,7,7841,0.368273,0,0.274218,49,0
1,0,0,0,3,6913,0.172548,0,0.119955,44,0
1,1,1,0,12,8500,0.208328,2,0.64499,33,1
0,0,2,0,9,7000,0.481503,0,0.054166,32,0
0,0,0,0,4,4000,0.111722,0,0.3986,26,0
3,0,1,0,5,9000,0.408621,0,0,41,0
0,0,2,0,12,5126,0.44529,0,0.034792,68,0
1,0,0,0,4,3254,0.337942,0,1.006632,32,0
1,0,2,0,3,11362,0.335739,0,1,34,0
0,0,0,0,5,2600,0.111496,0,0.060604,64,0
2,0,2,0,14,10838,0.378909,0,0.024365,53,0
?,0,4,0,7,?,3824,0,0.018844,57,0
1,0,2,0,12,8456,0.550786,0,0.952345,59,0
0,0,1,0,11,7000,0.311384,0,0.300662,64,0
0,0,1,0,9,11200,0.349255,0,0.823073,45,0
1,0,2,0,14,13686,0.610872,0,0.124479,48,0
1,0,2,0,18,0,2216,0,0.122129,50,0
0,0,1,0,6,4200,0.419424,0,0.334814,45,0
2,0,0,0,4,5000,0.129374,0,0.020734,43,0
0,1,0,0,3,2500,0.078369,1,0.928127,47,1
0,0,3,0,6,?,2632,0,0.029336,60,0
0,1,1,0,7,5600,0.721835,0,1.004694,61,0
?,0,1,0,10,?,688,0,0.082904,62,0
1,0,1,0,4,2994,0.368948,0,0.147132,27,0
0,0,3,0,17,18000,0.28754,0,0.130771,41,0
1,0,1,0,13,?,4936,1,0.77434,54,0
2,0,2,0,9,3000,3.207931,2,0.341187,55,0
0,0,3,0,18,?,4836,0,0.069083,55,0
0,0,0,0,6,2400,0.243232,0,0.913391,52,1
2,0,2,0,15,7083,0.537267,1,0.417431,40,0
3,0,2,0,12,10816,0.23084,0,0.364235,48,0
2,0,0,0,3,6250,0.094865,1,0.925859,41,0
0,0,3,0,9,4350,0.909446,0,0.058667,48,0
0,0,0,0,5,0,65,2,0.068913,29,0
0,0,2,0,7,7000,0.506071,0,0.03685,32,1
0,0,2,0,10,6665,0.447945,1,0.230107,38,0
2,1,1,0,6,?,1890,1,0,44,0
0,1,0,3,1,3915,0.108018,0,1,43,1
?,0,1,0,3,?,809,0,0,64,0
0,0,1,0,5,?,3048,0,0.055076,53,0
0,0,2,0,18,5000,0.694061,0,0.122348,65,0
0,0,0,0,2,820,0,0,0,22,0
0,0,1,0,15,5150,0.461464,0,0.094803,54,0
0,0,1,0,6,8000,0.029746,0,0.035695,73,0
0,0,1,0,29,5200,0.194963,0,0.081256,53,0
0,0,1,0,9,3013,0.488056,0,0.39915,71,0
2,0,3,0,7,0,3196,0,0.339088,33,0
2,0,0,1,6,8061,0.162119,0,0.966681,38,0
1,0,0,0,8,5878,0.075183,0,0.148616,68,0
0,0,0,0,7,?,535,1,0.428019,38,1
2,0,2,0,11,12000,0.284476,0,0.223634,56,0
0,0,3,0,6,?,6891,2,0.659197,39,0
0,0,2,0,4,12000,0.637114,0,0.003143,55,0
0,0,1,0,10,6090,0.293055,0,0.153984,56,0
0,0,3,0,11,?,5417,0,0.584636,65,0
2,0,1,0,6,7916,0.344196,0,0.325189,53,1
3,0,2,0,12,10000,0.49555,0,0.114585,46,0
1,0,0,0,3,?,0,0,0,87,0
3,0,0,0,7,9791,0.201389,0,0.849908,34,0
1,0,1,0,10,3015,0.93435,0,0.555897,49,0
0,0,0,0,6,1800,0.025541,0,0.111389,25,0
2,0,1,0,18,?,2203,0,0.498887,45,0
2,0,1,0,5,15000,0.316912,0,1,44,0
0,0,1,0,7,1200,0.652789,0,0.044894,73,0
0,0,3,0,16,?,4422,0,0.412843,56,0
0,0,1,0,8,2533,0.929361,0,0.65018,62,0
0,0,0,0,3,0,413,0,0,36,0
3,0,1,0,8,23333,0.109025,0,0.042524,45,0
3,0,1,0,7,5333,0.306899,0,0.816688,37,0
0,0,2,0,20,3282,0.549193,0,0.258987,67,0
1,0,0,2,9,4500,0.438125,0,0.993742,48,1
0,0,0,0,4,820,1.377588,0,0.035724,28,0
4,0,2,0,16,6070,0.294021,0,0.389782,66,1
0,0,1,0,28,6250,1.047032,0,0.865476,57,1
1,0,1,0,15,?,2598,0,0.305068,62,0
0,0,2,0,12,5420,0.433499,0,0.122709,52,1
0,0,1,0,13,?,2283,0,0.000572,63,0
1,0,2,0,10,2333,1.149529,0,0.02146,38,0
1,0,0,0,8,3375,0.341825,0,0.46107,51,0
0,0,1,0,9,2500,0.507797,0,0.015489,68,0
0,0,3,0,11,4180,0.968189,0,0.268794,57,1
0,3,0,1,6,3378,0.33945,1,1.337528,39,0
0,0,4,0,9,15000,0.261116,0,0.042918,72,0
0,0,0,0,3,2670,0.140397,0,1,43,0
0,0,2,0,7,4500,0.424572,0,1.000109,61,0
0,0,0,0,17,?,49,0,0.009941,48,0
3,0,1,0,11,4400,0.138378,0,0.054443,49,0
0,0,0,0,14,5833,0.082448,0,0.027073,61,0
1,0,0,0,11,2500,0.205518,0,0.007691,67,0
?,0,1,0,6,?,1386,0,0.037105,87,0
0,0,0,0,8,4750,0.271101,1,0.997459,34,0
2,0,2,0,13,8083,0.351188,0,0.597804,46,0
0,0,0,0,18,1160,0.557278,0,0.220506,38,0
2,0,0,0,6,6000,0.321946,1,0.906657,33,0
3,1,5,0,17,9983,0.410757,0,0.135331,52,1
5,0,3,0,12,6950,0.516329,2,0.006015,56,0
1,0,0,0,5,9582,0.005844,0,0.054398,61,0
1,0,0,0,8,9273,0.171447,0,0.829004,47,0
3,0,1,0,7,0,1471,0,0.110584,60,0
5,0,2,0,21,9062,0.733532,1,0.484462,47,0
0,0,0,0,19,9428,0.002651,0,0.003529,64,0
0,1,0,1,14,?,663,5,0.990615,40,1
0,0,0,0,9,3450,0.211533,0,0.248944,52,0
0,0,0,0,3,?,13,0,0.063277,73,0
0,0,2,0,6,?,2217,0,0,64,0
3,0,1,0,5,12583,0.124126,0,0.018323,47,0
?,0,1,0,7,?,2085,0,0.027085,53,0
0,0,1,0,7,8458,0.315285,0,0.073402,54,0
1,0,1,0,7,2300,0.93568,1,0.979755,31,0
1,0,0,0,8,2500,0.448221,0,0.445503,28,0
2,2,0,0,2,2600,0.018839,0,1,23,1
0,0,0,0,1,2500,0.007597,0,1,64,1
0,0,0,0,2,?,463,0,1,64,0
2,0,1,0,15,4448,0.783547,2,0.806896,51,1
0,0,1,0,5,?,1498,0,0.321699,50,0
0,0,1,0,9,4200,0.321828,0,0.033296,48,0
1,0,0,0,7,?,19,0,0.009985,80,0
?,0,1,0,5,?,809,0,0.023754,70,0
2,1,0,1,1,1240,0.483481,0,1,39,0
0,0,0,0,1,5000,0.111778,1,1,53,0
0,0,1,0,10,2850,0.806384,0,0.612581,84,0
0,0,1,0,6,2600,0.372165,0,0.078404,35,0
0,0,0,0,7,?,1065,0,0.929753,54,0
0,0,0,0,9,4100,0.003414,0,0,67,0
0,0,2,0,9,?,3798,0,0.089408,55,0
0,0,0,0,5,5000,0.04799,0,0.607757,31,0
0,0,0,0,11,1400,0.084939,0,0.070667,50,0
3,0,0,0,2,5833,0.422695,0,1,41,0
0,0,0,0,2,?,37,0,0.127844,29,0
0,0,1,0,6,9900,0.185941,0,0.097848,51,0
1,0,0,0,8,1930,0.308648,0,0,33,0
0,0,0,5,1,2912,0,0,1,33,1
0,0,0,0,2,?,0,0,1,93,0
0,0,1,0,5,3209,0.303738,0,0.056598,48,0
1,0,0,0,4,2339,0.400427,0,0.599061,57,0
1,0,0,0,6,2897,0.256039,0,0.630678,42,0
2,0,3,0,13,15833,0.326449,0,0.001679,52,0
1,0,2,0,18,?,3065,0,0.099844,62,0
0,0,0,0,2,3842,0.014312,0,0.037611,83,0
2,0,1,2,5,8333,0.161627,0,0.021999,45,1
0,3,0,0,3,?,511,0,0.904382,43,1
0,0,0,0,6,?,1,0,0.001066,30,0
0,1,0,0,16,8666,0.014076,0,0.028871,58,0
0,0,1,0,10,2880,0.633808,0,0.422807,34,0
0,0,0,0,5,5156,0.007369,0,0.033794,61,0
0,0,1,0,4,1600,0.883823,0,1,63,1
0,0,0,0,3,?,3,0,0.001333,63,0
0,0,0,0,6,?,35,0,0.049149,69,0
?,0,0,0,2,?,540,0,0.356529,86,0
0,0,0,0,7,7000,0.096843,0,0.744434,29,0
0,0,0,0,8,?,1,1,0,86,0
0,0,1,0,14,5558,0.438028,0,0.023227,67,0
0,0,2,0,13,4104,0.982948,1,0.154235,58,0
?,0,0,0,3,?,158,0,0.014642,59,0
?,0,0,0,3,?,5,0,0.123251,26,0
0,0,0,0,2,4583,0.053447,0,0.894947,40,0
1,0,1,0,9,5000,0.187762,0,0.020071,50,1
2,0,1,3,1,2833,0.237826,0,1,35,1
0,0,0,0,6,3000,0.008331,0,0.012836,75,0
1,0,0,0,5,4166,0,0,0,66,0
2,0,1,0,3,4000,0.851787,0,0,39,0
4,0,1,0,5,12000,0.190567,0,0.178242,42,0
0,0,0,0,6,1427,0.001401,0,0.019992,26,0
0,0,0,0,2,?,142,0,0.616262,24,0
0,0,5,0,13,10983,0.734341,0,0.017951,63,0
5,0,2,0,18,9575,0.270572,0,0.174445,40,0
0,0,0,0,2,8416,0.056433,0,0.471444,48,0
3,0,3,0,19,12500,0.592113,0,0.73885,33,0
1,0,1,0,3,6800,0.085429,0,0.194754,64,0
0,0,3,0,10,5000,1.34953,0,0.018918,57,0
1,0,0,0,7,3600,0.000555,0,1,43,0
2,0,1,0,5,6000,0.363773,0,0.281744,34,0
0,0,0,0,4,8000,0.001625,0,0.008306,66,0
1,0,0,0,7,?,2250,0,0.607578,66,0
0,0,4,0,8,5117,0.754592,0,0.032651,57,0
?,0,0,0,4,?,7,0,0,77,0
0,0,0,0,2,?,111,0,0.123663,71,0
0,0,1,0,8,18325,0.125068,0,0.910311,41,0
1,0,2,0,25,15959,0.32995,0,0.237156,72,0
0,0,0,0,6,8669,0.004037,0,0.026599,74,0
0,0,0,1,5,?,301,0,0.963394,53,0
2,0,2,0,8,6000,0.431928,0,0.420257,41,0
2,0,1,0,8,8665,0.323333,0,0,46,0
1,0,4,0,17,6083,1.040434,0,0.283061,53,1
1,0,4,0,7,4000,1.4014,0,0.066617,36,1
0,0,1,0,8,10283,0.354434,1,0.539551,49,1
1,0,1,0,10,8770,0.251055,1,0.301566,62,0
0,0,1,0,9,10500,0.092563,0,0.309291,70,0
2,0,0,0,5,3534,0.286563,0,1,42,0
0,0,0,0,5,1051,0.115019,0,0.129136,49,0
2,0,1,0,10,6966,0.307306,0,0.100425,46,0
2,0,1,0,6,5000,0.487303,0,0.206891,42,0
1,0,3,0,14,?,5377,0,0.13081,52,0
2,0,1,0,9,7670,0.280537,1,0.089309,63,0
3,0,2,0,13,11284,0.36934,0,0.981279,43,0
2,0,10,0,15,8000,1.400575,3,0.863627,45,1
0,0,0,0,2,5000,0.018596,0,0.146272,77,0
0,0,1,0,4,?,1653,0,0,47,0
0,0,0,0,11,?,75,0,0.052557,77,0
0,0,0,0,10,5001,0.004598,0,0.013678,81,0
0,0,0,0,3,?,36,0,0.038697,81,0
2,0,1,0,16,6800,0.374798,0,0,49,0
0,0,1,0,4,?,543,0,0.009594,67,0
0,0,2,0,15,8916,0.329932,0,0.173747,69,0
0,0,0,0,3,2000,0.274363,0,0.862714,25,0
1,0,2,0,6,2965,0.319622,1,0.878972,76,0
0,0,0,0,7,?,133,0,0.270228,58,0
1,0,3,0,20,19600,0.506403,1,0.393088,61,0
2,0,1,0,4,6000,0.292785,1,1,50,0
1,0,1,0,12,10000,0.168583,0,0.021771,61,0
4,0,1,0,7,3600,0.392113,0,0,36,0
0,0,2,0,16,9540,0.198197,0,0.010664,53,0
0,1,6,0,22,10200,0.92834,1,0,53,0
0,0,1,0,7,?,2480,0,0,53,0
3,0,3,0,27,8833,0.935137,0,0.074202,48,0
0,0,0,0,4,?,11,0,0.01273,72,0
0,0,0,1,0,?,0,1,1,30,1
3,0,3,0,14,5583,0.708095,0,0.107536,36,0
1,0,0,0,1,1125,0.331261,0,1,33,1
4,0,0,0,12,9436,0.128219,1,0.577036,44,0
0,0,1,0,8,?,926,0,0.013849,31,0
0,0,0,0,13,6440,0.254308,0,0.062411,64,0
0,0,0,0,10,?,3010,1,0.948628,38,1
0,0,0,0,0,?,0,0,1,40,0
5,0,0,0,1,5500,0.015815,0,0.072723,53,0
0,0,1,0,9,5397,0.401815,0,0.057592,66,0
2,0,0,0,3,3362,0.241451,1,1.015698,39,0
0,0,1,0,5,2500,0.770492,0,0,27,0
0,0,1,0,8,?,841,0,0.025166,47,0
1,0,2,0,13,6667,0.546041,0,0,46,0
0,0,3,0,7,8916,0.494337,0,0.10017,42,0
0,0,2,0,14,6000,0.652058,0,0.027887,51,0
2,0,1,1,9,9000,0.256083,2,0.741966,41,0
0,0,0,0,9,7700,0.238411,0,0.618899,53,0
5,0,3,0,7,10159,0.43563,0,0.520591,50,0
3,0,3,0,12,25000,0.279589,0,0.08118,51,0
1,0,1,0,7,11014,0.338266,0,0.484357,48,1
0,0,0,0,7,1750,0.339806,0,0.121668,58,0
0,0,2,0,7,6225,0.338741,0,0.043141,31,0
0,0,0,0,0,?,0,0,1,23,0
1,0,1,0,11,2486,0.625251,1,0.02797,32,0
0,0,0,0,6,2500,0.04918,0,0.007998,25,0
0,0,3,0,5,6700,0.501119,0,0,43,0
2,0,1,0,12,8702,0.416868,0,0.731003,40,0
2,0,5,0,10,4965,1.349174,0,0.42222,46,1
0,0,1,3,4,?,1062,0,1,52,0
2,0,1,0,7,?,764,2,0.904718,40,0
2,0,2,1,14,?,1870,0,0,46,0
0,0,1,0,5,4094,0.278632,0,0.01443,59,0
?,0,0,0,1,?,45,0,0.092479,87,0
0,0,1,0,6,?,3327,1,0.162585,50,0
0,0,1,0,7,5069,0.185602,0,0.017131,79,0
2,0,2,0,19,8600,0.325078,1,0.206098,45,0
0,0,1,0,3,?,1364,0,0.035196,53,0
0,0,2,0,11,?,1255,2,0.389862,46,1
0,0,0,0,5,?,82,0,0.085106,56,0
1,0,2,0,16,3000,0.782073,0,0.086398,61,0
1,0,5,0,11,20504,0.377664,0,0.067076,57,0
0,0,0,0,5,?,9,0,0.007237,74,0
0,0,1,0,3,6642,0.193286,0,1,66,1
3,0,0,0,2,0,685,0,0.233896,34,0
2,0,0,0,10,18100,0.080824,0,0.694501,55,0
2,0,0,0,4,1200,0.331391,1,1.112273,49,1
0,0,2,0,12,10122,0.293391,1,0.468361,39,0
0,0,1,3,3,3532,0.440985,1,1,39,1
2,0,1,0,7,6101,0.280236,0,0.088092,70,0
0,0,0,0,8,4100,0.207754,0,0.682009,28,0
?,0,0,0,1,?,2,0,0.032712,79,0
0,0,0,0,12,5250,0.153685,0,0,63,0
1,0,3,0,15,15074,0.439138,0,0.231449,50,0
0,0,1,0,3,6400,0.252773,0,1,92,0
5,0,1,0,10,11557,0.26553,1,0.045207,52,0
0,0,1,0,7,5000,0.084583,0,0.008459,60,0
0,0,0,0,5,10333,0.039675,0,0.033482,48,0
0,0,1,0,5,10000,0.185081,0,0.000234,65,0
1,0,2,0,5,2115,0.597826,0,0.003619,41,0
0,0,0,0,2,?,0,0,1,64,0
0,0,2,0,8,4244,0.290931,0,0,49,0
3,0,0,0,14,3501,0.185894,2,0.173814,49,0
0,0,0,0,8,?,68,0,0.217694,36,0
0,0,1,0,6,4500,0.314597,0,0.091884,61,0
0,0,0,0,9,?,494,0,0.12382,34,0
0,2,0,0,6,3125,0.190979,2,1.072664,30,0
0,0,2,0,14,8896,0.525233,0,0.021428,59,0
0,0,1,0,4,2083,0.565259,0,0.413655,32,0
1,0,2,0,13,6666,0.974051,0,0.177794,38,0
0,0,0,0,14,2040,0,0,0,84,0
1,0,2,0,8,4000,0.296426,0,0.13334,49,0
2,0,1,0,11,4666,0.356975,0,0.17023,38,0
0,0,0,0,2,1700,0.004115,0,0.012449,52,0
4,0,0,0,3,?,402,1,1,50,0
0,0,0,0,1,1000,0,0,1,22,0
0,0,0,0,1,0,20,0,0.197372,25,0
0,0,3,0,8,3583,1.131696,0,0.871929,72,0
1,0,0,0,5,8109,0.090136,0,0.541688,46,0
0,1,1,0,8,?,2913,3,0.316344,65,0
0,0,1,0,8,9140,0.046384,0,0.094808,54,0
0,0,1,0,12,?,817,1,0,65,0
1,0,1,0,5,?,1787,0,0.013458,53,0
3,0,3,0,10,20800,0.240133,0,0.190968,34,0
2,0,1,0,7,3300,0.301424,0,0.161385,47,0
0,0,2,0,14,?,4172,1,0.400012,64,0
0,0,1,0,7,2700,0.415402,1,1.01806,73,1
0,0,0,0,1,?,0,0,1,79,0
0,0,1,0,5,1228,0.196908,0,0.029884,74,0
1,0,2,0,13,?,2369,0,0,58,0
0,0,0,0,6,?,369,0,0.019837,32,0
0,0,1,0,4,4166,0.083993,1,0.566858,42,0
2,0,1,1,16,7133,0.205915,0,0.011983,59,0
?,0,1,0,7,?,530,0,0.006645,58,0
1,1,0,1,7,2479,0.280242,3,0.409199,32,1
2,0,3,0,10,5500,0.560989,0,0.266022,47,0
0,0,0,0,3,2557,0.015246,0,0.162419,24,0
1,0,2,0,11,30950,0.191238,0,0.266198,48,0
0,0,2,0,6,4116,0.560117,0,0.096361,35,0
1,0,1,0,10,4800,0.524266,0,0.044647,82,0
0,0,0,0,4,4990,0.01643,0,0.146979,62,0
1,0,2,0,13,3801,0.58364,0,0.772288,65,0
3,0,2,0,17,13050,0.269405,0,0.238073,48,0
0,0,1,0,17,4616,0.441412,1,0.450174,55,0
0,0,0,0,4,1100,0.119891,4,0.846307,26,0
0,0,0,0,4,?,83,0,0.04055,78,0
1,1,0,0,9,10416,0.071998,0,0.100775,34,0
0,0,2,0,8,836,2.591398,0,0.018784,57,0
0,3,0,0,6,?,657,2,0.832696,47,0
1,1,1,2,4,2165,0.533241,1,0.657849,52,1
1,0,1,0,8,5884,0.485811,0,0.719559,45,0
1,1,0,0,6,?,786,0,0.236259,56,0
0,1,2,1,9,3138,0.785919,0,0.820273,50,0
0,0,2,0,4,5833,0.239458,0,0.026136,47,0
0,0,0,0,3,2452,0.016307,0,0.031952,76,0
0,1,2,0,8,4934,1.067072,0,0.000608,49,0
1,0,2,0,7,7000,0.267676,0,0.041797,73,0
0,0,1,0,7,3800,0.822415,0,0,52,0
0,0,0,0,3,?,198,0,0,29,0
0,0,0,0,6,2885,0.263687,0,0.638205,38,0
0,0,0,1,0,?,20,0,1,65,0
1,0,2,0,12,8166,0.11975,0,0.023495,48,0
1,0,1,0,4,29999,0.076867,0,0.265091,45,0
0,0,0,0,13,2800,0.269547,0,0.144579,66,0
2,0,1,0,4,7666,0.220164,0,0.249335,42,0
2,0,1,0,9,4756,0.355266,0,0.315474,58,1
1,0,1,0,10,3307,0.62243,1,0.00009,51,0
6,0,2,0,11,4789,0.452192,1,0.308672,50,0
3,0,1,0,8,68000,0.03222,1,0.232884,58,0
0,0,3,0,14,?,3538,0,0.074519,55,0
0,0,1,0,8,?,528,0,0.012041,70,0
0,0,0,0,0,?,150,0,1,24,0
1,1,0,0,2,4000,0.07848,1,0.841539,30,0
5,0,0,0,1,20000,0.011399,0,0.811935,49,0
0,0,1,0,5,2189,1.494521,0,0.636596,33,0
1,0,1,0,11,2000,0.264868,0,0.005,46,0
1,0,1,0,9,4298,0.443359,0,0.370908,45,0
0,0,0,0,4,3379,0.107692,0,0,30,0
0,0,1,0,9,3433,0.309843,0,0.239117,61,0
0,0,0,0,7,4000,0.005749,0,0.012432,89,0
4,4,2,4,10,?,3506,3,1.396226,37,1
1,1,0,0,5,2653,0.464959,0,0.978186,36,1
0,0,1,0,26,3900,0.441169,0,0.117854,44,0
3,0,1,0,8,4753,0.418805,0,0.452766,42,0
0,0,2,0,10,9583,0.198769,0,0.022462,58,0
